songID,songName,ytID,view,langs
1,終わりなき旅 - Mr.Children,QCiERL2m3Ss,0,"['jp', 'zh']"
2,ノンフィクション - 平井堅,JC6IRyiaGGM,0,"['jp', 'zh']"
3,ハンブンコ - ericka hitomi,RU-_DEdrZBk,0,"['jp', 'zh']"
4,深海少女 - 初音ミク,2CwBFr-Eoxg,0,"['jp', 'zh']"
5,Make My Day! - ピコ,vkVXMrst89I,0,"['jp', 'zh']"
6,ピースサイン - 米津玄師,1oMxrHXzOsY,0,"['jp', 'zh']"
7,シュガーソングとビターステップ - UNISON SQUARE GARDEN,ERLEeGVWYxg,0,"['jp', 'zh']"
8,言って。 - ヨルシカ,F64yFFnZfkI,0,"['jp', 'zh']"
9,きみわずらい - まねきケチャ,YPK23Sa9q5Y,0,"['jp', 'zh']"
10,ニア - 天月,naiWWxJ9XNY,0,"['jp', 'zh']"
11,カタオモイ - Aimer,zSOJk7ggJts,0,"['jp', 'zh']"
12,ともに - WANIMA,qag4ewos4TE,0,"['jp', 'zh']"
13,猛独が襲う - まふまふ,KhV57_EH3AA,0,"['jp', 'zh']"
14,イマジネーション - SPYAIR,2QpeSCXP2t0,0,"['jp', 'zh']"
15,39 - 初音ミク,ecU_uJRzhfk,0,"['jp', 'zh']"
16,himawari - Mr.Children,_kXE9FHQy9E,0,"['jp', 'zh']"
17,もしも僕に - 関取花,-pex_kWMoOo,0,"['jp', 'zh']"
18,四季折々に揺蕩いて - After the Rain,M7sr5zv1EkI,0,"['jp', 'zh']"
19,Trip Trip Trip - ORESAMA,ICvBtinJe-c,0,"['jp', 'zh']"
20,FIND THE WAY - 中島美嘉,AZegBSfZ8SQ,0,"['jp', 'zh']"
21,A/Z - SawanoHiroyuki[nZk]:mizuki,PLgZLV1gc6w,0,"['jp', 'zh']"
22,打上花火 - DAOKO×米津玄師,-tKVN2mAKRI,0,"['jp', 'zh']"
23,ヒバナ - 初音ミク,hxSg2Ioz3LM,0,"['jp', 'zh']"
24,A Perfect Sky - BONNIE PINK,qe5pN-xMnPo,0,"['jp', 'zh']"
25,Ray ―はじまりのセカイ― - 山崎寛子,vvoynPxLb8M,0,"['jp', 'zh']"
26,さくら - 森山直太朗,p_2F2lKV9uA,0,"['jp', 'zh']"
27,君さえいなけりゃ feat. 春茶 - コバソロ,-KOeQapXsx8,0,"['jp', 'zh']"
28,アンノウン・マザーグース - 初音ミク,P_CSdxSGfaA,0,"['jp', 'zh']"
29,カタオモイ - メガテラ・ゼロ,gXas7nErz9k,0,"['jp', 'zh']"
30,HANABI - Mr.Children,EXxaBXKjl6Q,0,"['jp', 'zh']"
31,レディーレ - くろくも,CL5WFmDQffA,0,"['jp', 'zh']"
32,阿吽のビーツ - メガテラ・ゼロ,uuHZca1eUIA,0,"['jp', 'zh']"
33,マイクロズボラ - ロバート秋山,qP26ngPLjqk,0,"['jp', 'zh']"
34,イマドキの子 - 神聖かまってちゃん,sEsIK-aTSko,0,"['jp', 'zh']"
35,カゲロウ - メガテラ・ゼロ,XSBjy9nc5sk,0,"['jp', 'zh']"
36,カイコ - RADWIMPS,iHUnUHA5hek,0,"['jp', 'zh']"
37,鏡面の波 - YURiKA,WvupNifis2g,0,"['jp', 'zh']"
38,灰色と青 ( + 菅田将暉) - 米津玄師,gJX2iy6nhHc,0,"['jp', 'zh']"
39,一番綺麗な私を - 中島美嘉,utq_CdyhsIk,0,"['jp', 'zh']"
40,Prologue - 東雲アイラ(松岡由貴),b7-jZsSxy5c,0,"['jp', 'zh']"
41,フィクサー - メガテラ・ゼロ,Num8ZWWmPhQ,0,"['jp', 'zh']"
42,プラネタリウム - 大塚愛,t6xdg6TKbyQ,0,"['jp', 'zh']"
43,東京百鬼夜行 - 初音ミク,fMwLjZiAUf8,0,"['jp', 'zh']"
44,ラプンツェル - くろくも,oXPGF5khaJI,0,"['jp', 'zh']"
